City,id,nametype,reclass,mass (g),Trip or Order Status,Request Time,Pickup Lat,Pickup Lng,Dropoff Lat,Dropoff Lng
Chicago,15456,Valid,Chicago,1.29, Depressed ,2020-02-20 14:33:45 +0000 UTC,41.93434,-87.66586,41.92538,-87.65302
Chicago,18101,Valid,Chicago,0,Heartbroken,2020-02-20 14:32:52 +0000 UTC,41.91818,-87.65093,41.91815597,-87.65005359
Chicago,5014,Valid,Chicago,7.06,Exhausted,2020-02-19 20:01:03 +0000 UTC,41.8558674,-87.6331365,41.9343728,-87.6660072
Chicago,24139,Valid,Chicago,1.3,Hungry,2020-02-19 14:32:11 +0000 UTC,41.93347,-87.66602,41.92534,-87.65306
Chicago,12457,Valid,Chicago,0,Tired,2020-02-19 14:31:26 +0000 UTC,,,,
Chicago,16630,Valid,Chicago,0.52,Tired,2020-02-15 01:52:48 +0000 UTC,41.9343103,-87.6659024,41.9397538,-87.6636486
Chicago,12264,Valid,Chicago,3.57,Energetic,2020-02-08 06:47:09 +0000 UTC,41.90029,-87.68678,41.93428,-87.66562
Chicago,16645,Valid,Chicago,3.4,Calm,2020-02-08 02:03:42 +0000 UTC,41.93428,-87.66566,41.90034,-87.6868
Chicago,23893,Valid,Chicago,2.61,Drunk,2020-02-04 04:40:18 +0000 UTC,41.92722,-87.7092,41.93392,-87.66603
Chicago,18009,Valid,Chicago,13.05, Hopeful ,2020-02-01 07:34:38 +0000 UTC,41.79841,-87.59971,41.93415,-87.66599
Chicago,16738,Valid,Chicago,1.53,COMPLETED,2020-02-01 01:18:51 +0000 UTC,41.80254,-87.59184,41.78781,-87.59548
Chicago,14650,Valid,Chicago,0,CANCELED,2020-01-31 14:46:00 +0000 UTC,41.94378117,-87.67150013,41.94381525,-87.6714824
Chicago,5115,Valid,Chicago,0,DRIVER_CANCELED,2020-01-31 14:34:00 +0000 UTC,41.91606311,-87.66812114,41.93334357,-87.66580863
Chicago,18846,Valid,Chicago,0,CANCELED,2020-01-30 23:14:32 +0000 UTC,,,,
Chicago,398,Valid,Chicago,0,CANCELED,2020-01-30 23:13:41 +0000 UTC,,,,
Chicago,5112,Valid,Chicago,0,CANCELED,2020-01-29 14:16:39 +0000 UTC,41.9346799,-87.6782132,41.9335723,-87.6781796
San Francisco,11467,Valid,San Francisco,1.05,COMPLETED,2020-01-10 21:58:14 +0000 UTC,37.22336,-121.98207,37.23451,-121.97825
San Francisco,11872,Valid,San Francisco,1.34,COMPLETED,2020-01-09 00:36:24 +0000 UTC,37.2451867,-121.9233777,37.2451867,-121.9233777
San Francisco,23692,Valid,San Francisco,2.97,COMPLETED,2020-01-04 20:06:44 +0000 UTC,37.31653,-122.03346,37.33333,-122.01517
San Francisco,4983,Valid,San Francisco,2.75,COMPLETED,2020-01-04 19:36:22 +0000 UTC,37.33337,-122.01515,37.31654,-122.03346
